date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:23	91270/91270	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2013:28:36%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html	(from )
21:29:24	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20May%202021%2015:58:47%20GMT	http://html.kodesolution.live/robots.txt		(from )
21:29:24	1744/1744	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jun%202017%2014:54:52%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/images/favicon.png	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/images/favicon.png	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:25	664/664	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jun%202017%2021:03:06%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/images/apple-touch-icon.png	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/images/apple-touch-icon.png	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:26	1146/1146	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jun%202017%2021:03:10%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/images/apple-touch-icon-72x72.png	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/images/apple-touch-icon-72x72.png	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:27	1576/1576	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jun%202017%2021:03:10%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/images/apple-touch-icon-114x114.png	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/images/apple-touch-icon-114x114.png	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:29	1975/1975	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jun%202017%2021:03:10%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/images/apple-touch-icon-144x144.png	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/images/apple-touch-icon-144x144.png	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:33	29273/29273	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2020:04:44%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/jquery-ui.min.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/jquery-ui.min.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:33	121260/121260	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2020:04:44%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/bootstrap.min.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/bootstrap.min.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:35	88597/88597	---M--	200	added ('OK')	text/css	date:Sun,%2017%20Apr%202016%2015:47:14%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/animate.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/animate.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:38	258669/258669	---M--	200	added ('OK')	text/css	date:Sat,%2018%20Feb%202017%2019:38:38%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/css-plugin-collections.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/css-plugin-collections.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:39	2350/2350	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2020:04:44%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/menuzord-skins/menuzord-rounded-boxed.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/menuzord-skins/menuzord-rounded-boxed.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:44	144735/144735	---M--	200	added ('OK')	text/css	date:Tue,%2002%20May%202017%2023:02:28%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/style-main.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/style-main.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:45	60741/60741	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202016%2011:00:08%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/preloader.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/preloader.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:50	62859/62859	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2020:04:44%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/custom-bootstrap-margin-padding.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/custom-bootstrap-margin-padding.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:51	1142/1142	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2015:07:44%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/responsive.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/responsive.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:53	36724/36724	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Feb%202016%2010:01:52%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/js/revolution-slider/css/settings.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/js/revolution-slider/css/settings.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:55	120120/120120	---M--	200	added ('OK')	text/css	date:Sat,%2005%20Mar%202016%2009:22:56%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/js/revolution-slider/css/layers.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/js/revolution-slider/css/layers.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:57	28312/28312	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Feb%202017%2019:45:00%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/css/colors/theme-skin-sky-blue-light.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/css/colors/theme-skin-sky-blue-light.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:29:59	59567/59567	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Oct%202015%2008:13:48%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/js/revolution-slider/css/navigation.css	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/js/revolution-slider/css/navigation.css	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
21:30:07	36868/36868	---M--	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2020:04:44%20GMT	http://html.kodesolution.live/s/autocarepress/v2.0/demo/js/bootstrap.min.js	C:/Users/Musharraf%20Ali/Desktop/car%20service/carservice/html.kodesolution.live/s/autocarepress/v2.0/demo/js/bootstrap.min.js	(from http://html.kodesolution.live/s/autocarepress/v2.0/demo/index-sp-layout3.html)
